Call Time,Caller ID,Destination,Status,Ringing,Talking,Cost,Reason,Sentiment,Summary,Transcription
2025-08-01T12:03:36,ATENCION CLIENTE STO329 (32910),30610,answered,00:00:07,00:00:38,0.63,Terminated by 30610,,,
2025-08-01T12:04:11,DROGUERIA STO641 (64120),99070,answered,00:00:06,00:00:02,0.04,Terminated by DROGUERIA STO641 (64120),,,
2025-08-01T12:04:06,ATENCION CLIENTE STO414 (41410),99070,answered,00:00:04,00:00:07,0.12,Terminated by 99070,,,
2025-08-01T12:03:50,DROGUERIA SDO099 (09920),VMail (51520),answered,00:00:00,00:00:27,0.00,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T12:03:29,DROGUERIA SDO099 (09920),DROGUERIA SDO515 (51520),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (51520)",,,
2025-08-01T12:03:53,ATENCION CLIENTE STO683 (68310),99070,answered,00:00:05,00:00:10,0.16,Terminated by ATENCION CLIENTE STO683 (68310),,,
2025-08-01T12:03:57,ATENCION CLIENTE STO379 (37910),99070,answered,00:00:06,00:00:03,0.05,Terminated by ATENCION CLIENTE STO379 (37910),,,
2025-08-01T12:03:55,DROGUERIA STO641 (64120),99070,answered,00:00:06,00:00:03,0.06,Terminated by DROGUERIA STO641 (64120),,,
2025-08-01T12:03:40,ATENCION CLIENTE SAO645 (64510),99070,answered,00:00:04,00:00:10,0.17,Terminated by 99070,,,
2025-08-01T12:02:29,DROGUERIA STO570 (57020),DROGUERIA SAO548 (54820),answered,00:00:18,00:00:48,0.00,Terminated by DROGUERIA SAO548 (54820),,,
2025-08-01T12:03:08,ATENCION CLIENTE SAO645 (64510),99071,answered,00:00:21,00:00:05,0.08,Terminated by ATENCION CLIENTE SAO645 (64510),,,
2025-08-01T12:03:23,ATENCION CLIENTE STO329 (32910),30610,answered,00:00:06,00:00:00,0.00,Terminated by 30610,,,
2025-08-01T12:03:24,DROGUERIA STO132 (13220),VMail (57020),answered,00:00:00,00:00:05,0.00,Terminated by DROGUERIA STO132 (13220),,,
2025-08-01T12:03:24,DROGUERIA STO132 (13220),DROGUERIA STO570 (57020),unanswered,00:00:00,00:00:00,0.00,"Busy, forwarded to VMail (57020)",,,
2025-08-01T12:03:21,DROGUERIA SDO099 (09920),VMail (51520),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T12:03:00,DROGUERIA SDO099 (09920),DROGUERIA SDO515 (51520),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (51520)",,,
2025-08-01T12:03:00,ATENCION CLIENTE STO378 (37810),99070,answered,00:00:04,00:00:09,0.15,Terminated by ATENCION CLIENTE STO378 (37810),,,
2025-08-01T12:02:52,ATENCION CLIENTE STO697 (69710),99070,answered,00:00:02,00:00:09,0.15,Terminated by 99070,,,
2025-08-01T12:02:52,ATENCION CLIENTE SAO645 (64510),99070,answered,00:00:06,00:00:03,0.06,Terminated by ATENCION CLIENTE SAO645 (64510),,,
2025-08-01T12:02:52,DROGUERIA SDO099 (09920),VMail (51520),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T12:02:31,DROGUERIA SDO099 (09920),DROGUERIA SDO515 (51520),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (51520)",,,
2025-08-01T12:02:36,ATENCION CLIENTE STO697 (69710),99070,answered,00:00:06,00:00:06,0.11,Terminated by ATENCION CLIENTE STO697 (69710),,,
2025-08-01T12:02:42,DROGUERIA STO427 (42720),VMail (40420),answered,00:00:00,00:00:05,0.00,Terminated by DROGUERIA STO427 (42720),,,
2025-08-01T12:02:21,DROGUERIA STO427 (42720),DROGUERIA STO404 (40420),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (40420)",,,
2025-08-01T12:02:19,ATENCION CLIENTE STO387 (38710),99070,answered,00:00:05,00:00:08,0.14,Terminated by 99070,,,
2025-08-01T12:02:20,ATENCION CLIENTE STO697 (69710),99070,answered,00:00:06,00:00:03,0.06,Terminated by ATENCION CLIENTE STO697 (69710),,,
2025-08-01T12:02:22,DROGUERIA STO132 (13220),VMail (55020),answered,00:00:00,00:00:05,0.00,Terminated by DROGUERIA STO132 (13220),,,
2025-08-01T12:02:01,DROGUERIA STO132 (13220),DROGUERIA STO550 (55020),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (55020)",,,
2025-08-01T12:02:23,DROGUERIA STO431 (43120),VMail (43220),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA STO431 (43120),,,
2025-08-01T12:02:23,DROGUERIA STO431 (43120),DROGUERIA SAO432 (43220),unanswered,00:00:00,00:00:00,0.00,Forwarded to VMail (43220),,,
2025-08-01T12:02:10,DROGUERIA STO689 (68920),99070,answered,00:00:04,00:00:09,0.14,Terminated by 99070,,,
2025-08-01T12:02:11,DROGUERIA STO427 (42720),VMail (40420),answered,00:00:00,00:00:07,0.00,Terminated by DROGUERIA STO427 (42720),,,
2025-08-01T12:01:49,DROGUERIA STO427 (42720),DROGUERIA STO404 (40420),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (40420)",,,
2025-08-01T12:02:07,ATENCION CLIENTE STO697 (69710),99070,answered,00:00:06,00:00:03,0.05,Terminated by ATENCION CLIENTE STO697 (69710),,,
2025-08-01T12:02:05,ATENCION CLIENTE STO387 (38710),99070,answered,00:00:06,00:00:04,0.06,Terminated by ATENCION CLIENTE STO387 (38710),,,
2025-08-01T12:02:05,ATENCION CLIENTE STO399 (39910),99070,answered,00:00:01,00:00:08,0.13,Terminated by 99070,,,
2025-08-01T12:01:29,ATENCION CLIENTE STO329 (32910),32110,answered,00:00:06,00:00:37,0.62,Terminated by 32110,,,
2025-08-01T12:01:53,ATENCION CLIENTE STO424 (42410),99070,answered,00:00:03,00:00:10,0.16,Terminated by 99070,,,
2025-08-01T12:01:54,ATENCION CLIENTE STO399 (39910),99070,answered,00:00:06,00:00:02,0.04,Terminated by ATENCION CLIENTE STO399 (39910),,,
2025-08-01T12:02:01,ATENCION CLIENTE STO697 (69710),VMail (99989),answered,00:00:00,00:00:01,0.00,Terminated by ATENCION CLIENTE STO697 (69710),,,
2025-08-01T12:00:41,DROGUERIA STO140 (14020),DROGUERIA STO570 (57020),answered,00:00:06,00:01:04,0.00,Terminated by DROGUERIA STO140 (14020),,,
2025-08-01T12:01:42,DROGUERIA STO427 (42720),0420,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:01:39,DROGUERIA STO427 (42720),5,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:01:04,ATENCION CLIENTE STO398 (39810),99070,answered,00:00:04,00:00:11,0.18,Terminated by 99070,,,
2025-08-01T12:01:17,ATENCION CLIENTE STO329 (32910),13,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T12:00:29,DROGUERIA STO385 (38520),99070,answered,00:00:02,00:00:12,0.21,Terminated by DROGUERIA STO385 (38520),,,
2025-08-01T12:00:13,DROGUERIA STO132 (13220),VMail (55020),answered,00:00:00,00:00:05,0.00,Terminated by DROGUERIA STO132 (13220),,,
2025-08-01T11:59:52,DROGUERIA STO132 (13220),DROGUERIA STO550 (55020),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (55020)",,,
2025-08-01T11:59:38,DROGUERIA STO570 (57020),VMail (54820),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA STO570 (57020),,,
2025-08-01T11:59:17,DROGUERIA STO570 (57020),DROGUERIA SAO548 (54820),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (54820)",,,
2025-08-01T11:59:06,RECIBO SAO640 (64040),99070,answered,00:00:03,00:00:15,0.25,Terminated by RECIBO SAO640 (64040),,,
2025-08-01T11:59:08,DROGUERIA STO570 (57020),VMail (54820),answered,00:00:00,00:00:05,0.00,Terminated by DROGUERIA STO570 (57020),,,
2025-08-01T11:58:47,DROGUERIA STO570 (57020),DROGUERIA SAO548 (54820),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (54820)",,,
2025-08-01T11:58:49,RECIBO SAO640 (64040),99070,answered,00:00:03,00:00:01,0.02,Terminated by RECIBO SAO640 (64040),,,
2025-08-01T11:58:39,DROGUERIA STO570 (57020),VMail (58620),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA STO570 (57020),,,
2025-08-01T11:58:18,DROGUERIA STO570 (57020),DROGUERIA SAO586 (58620),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (58620)",,,
2025-08-01T11:58:37,YENNY LISBETH SALCEDO SANCHEZ (95020),VMail (55720),answered,00:00:00,00:00:04,0.00,Terminated by YENNY LISBETH SALCEDO SANCHEZ (95020),,,
2025-08-01T11:58:16,YENNY LISBETH SALCEDO SANCHEZ (95020),DROGUERIA STO557 (55720),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (55720)",,,
2025-08-01T11:55:02,DROGUERIA STO682 (68220),DROGUERIA STO425 (42520),answered,00:00:07,00:03:11,0.00,Terminated by DROGUERIA STO682 (68220),,,
2025-08-01T11:58:06,YENNY LISBETH SALCEDO SANCHEZ (95020),VMail (55710),answered,00:00:00,00:00:04,0.00,Terminated by YENNY LISBETH SALCEDO SANCHEZ (95020),,,
2025-08-01T11:57:45,YENNY LISBETH SALCEDO SANCHEZ (95020),ATENCION CLIENTE STO557 (55710),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (55710)",,,
2025-08-01T11:57:32,ATENCION CLIENTE STO402 (40210),99070,answered,00:00:03,00:00:08,0.13,Terminated by 99070,,,
2025-08-01T11:54:07,DROGUERIA STO406 (40620),DROGUERIA STO418 (41820),answered,00:00:16,00:02:05,0.00,Terminated by DROGUERIA STO418 (41820),,,
2025-08-01T11:56:12,ATENCION CLIENTE SAO585 (58510),110,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T11:56:07,ATENCION CLIENTE SAO585 (58510),100,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T11:56:00,ATENCION CLIENTE SAO585 (58510),10,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T11:55:53,ATENCION CLIENTE SAO585 (58510),10,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T11:55:10,YANNY JEYSAN QUINA COLLO (96015),VMail (58610),answered,00:00:00,00:00:04,0.00,Terminated by YANNY JEYSAN QUINA COLLO (96015),,,
2025-08-01T11:54:49,YANNY JEYSAN QUINA COLLO (96015),ATENCION CLIENTE SAO586 (58610),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (58610)",,,
2025-08-01T11:52:21,DROGUERIA STO568 (56820),13020,answered,00:00:19,00:02:24,2.40,Terminated by DROGUERIA STO568 (56820),,,
2025-08-01T11:54:34,DROGUERIA STO686 (68620),243,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T11:51:17,EDI DASUKI (98040),ATENCION CLIENTE STO717 (71710),answered,00:00:16,00:02:48,0.00,Terminated by ATENCION CLIENTE STO717 (71710),,,
2025-08-01T11:54:02,DROGUERIA STO406 (40620),4192,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T11:53:59,DROGUERIA STO406 (40620),1,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T11:53:50,MARTHA SOTELO (99067),VMail (62610),answered,00:00:00,00:00:04,0.00,Terminated by MARTHA SOTELO (99067),,,
2025-08-01T11:53:29,MARTHA SOTELO (99067),ATENCION CLIENTE SAO626 (62610),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (62610)",,,
2025-08-01T11:53:16,DROGUERIA SDO099 (09920),DROGUERIA SDO515 (51520),unanswered,00:00:03,00:00:00,0.00,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T11:51:19,ATENCION CLIENTE SAO423 (42310),99073,answered,00:00:07,00:01:53,1.88,Terminated by 99073,,,
2025-08-01T11:53:14,DROGUERIA STO406 (40620),VMail (41920),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO406 (40620),,,
2025-08-01T11:52:56,DROGUERIA STO406 (40620),DROGUERIA STO419 (41920),unanswered,00:00:19,00:00:00,0.00,"Busy, forwarded to VMail (41920)",,,
2025-08-01T11:53:05,DROGUERIA SDO099 (09920),VMail (51520),answered,00:00:00,00:00:05,0.00,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T11:52:44,DROGUERIA SDO099 (09920),DROGUERIA SDO515 (51520),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (51520)",,,
2025-08-01T11:52:50,DROGUERIA STO406 (40620),VMail (41920),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO406 (40620),,,
2025-08-01T11:52:29,DROGUERIA STO406 (40620),DROGUERIA STO419 (41920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (41920)",,,
2025-08-01T11:50:40,DROGUERIA STO418 (41820),DROGUERIA SDO470 (47020),answered,00:00:19,00:01:49,0.00,Terminated by DROGUERIA SDO470 (47020),,,
2025-08-01T11:52:18,DROGUERIA SDO099 (09920),DROGUERIA SDO515 (51520),unanswered,00:00:21,00:00:00,0.00,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T11:52:25,DROGUERIA STO406 (40620),4192,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T11:52:19,DROGUERIA STO406 (40620),VMail (41920),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO406 (40620),,,
2025-08-01T11:51:58,DROGUERIA STO406 (40620),DROGUERIA STO419 (41920),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (41920)",,,
2025-08-01T11:52:08,DROGUERIA SDO099 (09920),VMail (51520),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T11:51:46,DROGUERIA SDO099 (09920),DROGUERIA SDO515 (51520),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (51520)",,,
2025-08-01T11:52:01,DROGUERIA SDO510 (51020),VMail (51520),answered,00:00:00,00:00:02,0.00,Terminated by DROGUERIA SDO510 (51020),,,
2025-08-01T11:52:01,DROGUERIA SDO510 (51020),DROGUERIA SDO515 (51520),unanswered,00:00:00,00:00:00,0.00,"Busy, forwarded to VMail (51520)",,,
2025-08-01T11:51:53,DROGUERIA SDO510 (51020),VMail (51520),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA SDO510 (51020),,,
2025-08-01T11:51:53,DROGUERIA SDO510 (51020),DROGUERIA SDO515 (51520),unanswered,00:00:00,00:00:00,0.00,"Busy, forwarded to VMail (51520)",,,
2025-08-01T11:51:12,EDI DASUKI (98040),VMail (71710),answered,00:00:00,00:00:04,0.00,Terminated by EDI DASUKI (98040),,,
2025-08-01T11:50:51,EDI DASUKI (98040),ATENCION CLIENTE STO717 (71710),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (71710)",,,
2025-08-01T11:51:04,DROGUERIA STO406 (40620),4022,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T11:50:53,DROGUERIA SDO099 (09920),VMail (51520),answered,00:00:00,00:00:06,0.00,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T11:50:32,DROGUERIA SDO099 (09920),DROGUERIA SDO515 (51520),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (51520)",,,
2025-08-01T11:50:46,EDI DASUKI (98040),VMail (71710),answered,00:00:00,00:00:04,0.00,Terminated by EDI DASUKI (98040),,,
2025-08-01T11:50:25,EDI DASUKI (98040),ATENCION CLIENTE STO717 (71710),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (71710)",,,
2025-08-01T11:49:38,STICK SNEIDER RUA SALAS (98854),ATENCION CLIENTE SAO640 (64010),answered,00:00:06,00:01:03,0.00,Terminated by STICK SNEIDER RUA SALAS (98854),,,
2025-08-01T11:50:20,EDI DASUKI (98040),VMail (71710),answered,00:00:00,00:00:03,0.00,Terminated by EDI DASUKI (98040),,,
2025-08-01T11:49:59,EDI DASUKI (98040),ATENCION CLIENTE STO717 (71710),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (71710)",,,
2025-08-01T11:50:15,DROGUERIA SDO099 (09920),VMail (52820),answered,00:00:00,00:00:06,0.00,Terminated by DROGUERIA SDO099 (09920),,,
2025-08-01T11:49:54,DROGUERIA SDO099 (09920),DROGUERIA SDO528 (52820),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (52820)",,,
2025-08-01T11:49:24,DROGUERIA STO568 (56820),13020,answered,00:00:05,00:00:42,0.70,Terminated by DROGUERIA STO568 (56820),,,
2025-08-01T11:50:01,DROGUERIA STO406 (40620),VMail (40220),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO406 (40620),,,
2025-08-01T11:49:40,DROGUERIA STO406 (40620),DROGUERIA STO402 (40220),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (40220)",,,
2025-08-01T11:49:54,EDI DASUKI (98040),VMail (71710),answered,00:00:00,00:00:04,0.00,Terminated by EDI DASUKI (98040),,,
2025-08-01T11:49:33,EDI DASUKI (98040),ATENCION CLIENTE STO717 (71710),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (71710)",,,
2025-08-01T11:49:28,EDI DASUKI (98040),VMail (71710),answered,00:00:00,00:00:04,0.00,Terminated by EDI DASUKI (98040),,,
2025-08-01T11:49:07,EDI DASUKI (98040),ATENCION CLIENTE STO717 (71710),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (71710)",,,
2025-08-01T11:49:03,DROGUERIA STO682 (68220),VMail (42720),answered,00:00:00,00:00:05,0.00,Terminated by DROGUERIA STO682 (68220),,,
2025-08-01T11:48:42,DROGUERIA STO682 (68220),DROGUERIA STO427 (42720),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (42720)",,,
2025-08-01T11:48:59,DROGUERIA STO568 (56820),13020,answered,00:00:08,00:00:00,0.00,Terminated by 13020,,,
2025-08-01T11:48:58,EDI DASUKI (98040),VMail (71710),answered,00:00:00,00:00:06,0.00,Terminated by EDI DASUKI (98040),,,
2025-08-01T11:48:37,EDI DASUKI (98040),ATENCION CLIENTE STO717 (71710),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (71710)",,,
2025-08-01T11:48:58,DROGUERIA STO406 (40620),VMail (40220),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO406 (40620),,,
2025-08-01T11:48:37,DROGUERIA STO406 (40620),DROGUERIA STO402 (40220),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (40220)",,,
2025-08-01T11:47:09,DROGUERIA SAO380 (38020),DROGUERIA STO379 (37920),answered,00:00:09,00:01:26,0.00,Terminated by DROGUERIA SAO380 (38020),,,
2025-08-01T11:48:35,DROGUERIA STO682 (68220),VMail (42520),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA STO682 (68220),,,
2025-08-01T11:48:14,DROGUERIA STO682 (68220),DROGUERIA STO425 (42520),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (42520)",,,
2025-08-01T11:48:32,EDI DASUKI (98040),VMail (71710),answered,00:00:00,00:00:03,0.00,Terminated by EDI DASUKI (98040),,,
2025-08-01T11:48:11,EDI DASUKI (98040),ATENCION CLIENTE STO717 (71710),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (71710)",,,
2025-08-01T11:48:29,DROGUERIA STO624 (62420),VMail (39520),answered,00:00:00,00:00:04,0.00,Terminated by DROGUERIA STO624 (62420),,,
2025-08-01T11:48:08,DROGUERIA STO624 (62420),DROGUERIA STO395 (39520),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (39520)",,,
2025-08-01T11:48:09,DROGUERIA STO682 (68220),520,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T11:48:06,DROGUERIA STO682 (68220),1,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T11:48:00,DROGUERIA STO682 (68220),VMail (42520),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO682 (68220),,,
2025-08-01T11:47:39,DROGUERIA STO682 (68220),DROGUERIA STO425 (42520),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (42520)",,,
2025-08-01T11:47:54,DROGUERIA STO568 (56820),13920,answered,00:00:00,00:00:08,0.13,Terminated by DROGUERIA STO568 (56820),,,
2025-08-01T11:46:59,DROGUERIA STO624 (62420),DROGUERIA STO418 (41820),answered,00:00:07,00:00:48,0.00,Terminated by DROGUERIA STO418 (41820),,,
2025-08-01T11:47:33,CLAUDIA MARCELA SALAMANCA MELENDEZ (99077),ATENCION CLIENTE SAO393 (39310),unanswered,00:00:21,00:00:00,0.00,Terminated by CLAUDIA MARCELA SALAMANCA MELENDEZ (99077),,,
2025-08-01T11:40:20,DROGUERIA STO408 (40820),DROGUERIA STO457 (45720),answered,00:00:12,00:07:04,0.00,Terminated by DROGUERIA STO457 (45720),,,
2025-08-01T11:47:25,CLAUDIA MARCELA SALAMANCA MELENDEZ (99077),VMail (39320),answered,00:00:00,00:00:05,0.00,Terminated by CLAUDIA MARCELA SALAMANCA MELENDEZ (99077),,,
2025-08-01T11:47:04,CLAUDIA MARCELA SALAMANCA MELENDEZ (99077),DROGUERIA SAO393 (39320),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (39320)",,,
2025-08-01T11:46:56,DROGUERIA STO624 (62420),DROGUERIA STO418 (41820),unanswered,00:00:00,00:00:00,0.00,Terminated by DROGUERIA STO624 (62420),,,
2025-08-01T11:43:30,DROGUERIA STO682 (68220),DROGUERIA STO411 (41120),answered,00:00:13,00:03:09,0.00,Terminated by DROGUERIA STO411 (41120),,,
